,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,4,0,Y,Y,J,1,0.3020992233100468,0.5867292503521786,0.7376465327321013,0.6549284221514666
1,4,1,Y,Y,J,0,0.3141520307901515,0.5888955430048854,0.75,0.6746417001676939
2,4,2,Y,Y,J,0,0.30881121337609846,0.6135608169098625,0.75,0.621209574695007
3,4,3,Y,X,F,1,0.3337199394372253,0.6152357727170674,0.724329238429652,0.6067232918475718
4,4,4,Y,X,F,0,0.33348770161476343,0.601670261530942,0.6973985911799188,0.6125273448412126
5,4,5,X,X,F,0,0.3636916804784263,0.5879784636120854,0.7078513955702178,0.6303851081496523
6,4,6,X,X,D,0,0.31990695004246106,0.5584531427037966,0.6762692976688548,0.6153210993111002
7,4,7,Y,Y,K,1,0.30463300600109433,0.5804085953447242,0.7194919879053734,0.6484205708562284
8,4,8,X,Y,K,1,0.2856516345753377,0.6191973602965594,0.75,0.6799795826532286
9,4,9,X,X,F,1,0.2776057977275122,0.6089927203618192,0.75,0.6855220042556474
10,4,10,X,Y,J,0,0.25464232161993866,0.5864964407243974,0.75,0.6751449327698168
11,4,11,X,X,D,0,0.2946859671623337,0.5939770638156097,0.7398682531187538,0.6739602964772625
12,4,12,Y,Y,K,1,0.25488395562914007,0.6074190224702766,0.75,0.5974367448437435
13,4,13,Y,X,F,0,0.25,0.582165955687889,0.7237493374138035,0.5731037752076589
14,4,14,Y,Y,K,0,0.25200669313751006,0.5941816134225605,0.75,0.6031495179587623
15,4,15,Y,X,D,1,0.25,0.5993857532879846,0.75,0.5952638648243582
16,4,16,Y,Y,K,0,0.25,0.5388560265078851,0.7352600347892154,0.6533331289767801
17,4,17,X,X,D,1,0.25,0.5367826048577204,0.7325644791860915,0.6401417705314392
18,4,18,Y,Y,J,1,0.2864518588212229,0.5476143513702398,0.7253948187865615,0.6369592671149262
19,4,19,Y,Y,K,0,0.2787783437169835,0.5374458221784073,0.7193950449993147,0.6348148053261546
