,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,67,0,Y,Y,K,1,0.2795744680391035,0.3362618344740237,0.5594960092843425,0.7339226522231159
1,67,1,Y,X,D,0,0.28771392607172686,0.32997378674624434,0.5389262820396074,0.7373005620505145
2,67,2,Y,Y,K,0,0.25504715282345325,0.32890029793782394,0.5260554410504009,0.75
3,67,3,Y,X,F,0,0.26458978366473407,0.2903789188305983,0.49889120881318844,0.75
4,67,4,Y,Y,K,1,0.3267686868207495,0.25,0.517040407019208,0.695432729563024
5,67,5,Y,X,F,0,0.2862229078204109,0.25366413541603255,0.4710969375627675,0.6652546921933078
6,67,6,Y,X,F,0,0.2723605665872083,0.25,0.4522088546475004,0.6591303003785979
7,67,7,Y,X,D,0,0.25,0.25,0.44505814784486847,0.6634186655713069
8,67,8,Y,Y,K,0,0.25,0.270590715842393,0.43540902157705363,0.6550267607011426
9,67,9,X,Y,J,0,0.25,0.2757347269210468,0.42367995981471945,0.6441757630672678
10,67,10,Y,Y,K,0,0.26686928690254647,0.26898971395518656,0.42540056644498614,0.6660959176010368
11,67,11,Y,X,D,1,0.2619686035021007,0.2834231598914697,0.42622696510762725,0.741110635033265
12,67,12,Y,Y,K,1,0.29113055065342086,0.2754863654068763,0.39558486457858244,0.75
13,67,13,Y,Y,K,1,0.28832829190126646,0.28530681078872,0.3980308287612019,0.720818093537058
14,67,14,Y,Y,K,0,0.3065216850444167,0.2971741523375203,0.4014950076364843,0.7017145864722242
15,67,15,Y,Y,K,1,0.2817918683427395,0.266042486098804,0.4440241178226906,0.7062495824064049
16,67,16,Y,Y,K,1,0.28299886574577465,0.25,0.45684403328383116,0.7022886318410008
17,67,17,Y,Y,K,0,0.30172698473629317,0.25,0.4512424732589913,0.628907489998598
18,67,18,Y,Y,K,1,0.3218156723855193,0.25,0.43076130374681454,0.6395266034787627
19,67,19,Y,Y,K,1,0.3262202087033887,0.25,0.4229502573279778,0.6633380627107193
