,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,20,0,Y,Y,J,0,0.2673118596100162,0.4466889902559975,0.34909037545520855,0.33527438474455445
1,20,1,Y,X,D,1,0.32669187372820185,0.4431672429453786,0.3575671582131655,0.34693632458125917
2,20,2,X,Y,K,0,0.3228594961198285,0.4400192273143279,0.4343330702162741,0.333514918630414
3,20,3,X,X,F,0,0.32298465092651674,0.42798124060548026,0.4520817610759917,0.3827038330043603
4,20,4,X,X,D,0,0.2861430922070206,0.4706461395237122,0.4703482063393442,0.40184001713413664
5,20,5,Y,Y,J,0,0.26386195822280445,0.4825691127620851,0.47486607227114636,0.3597715359336944
6,20,6,X,Y,K,0,0.27138937985481304,0.46007720498742327,0.44943907465632954,0.35921337256495867
7,20,7,Y,Y,K,0,0.2518374866513275,0.4461090386334887,0.4295892752986151,0.3555614726916585
8,20,8,Y,Y,K,1,0.2556874408167666,0.5083625396278039,0.47115701325394105,0.39550607162002666
9,20,9,Y,X,D,0,0.25,0.47743071906435663,0.47682007765682427,0.37340963046451586
10,20,10,Y,X,D,1,0.2663156671774873,0.4948262774105614,0.4635416270262577,0.3924563141053859
11,20,11,X,X,D,0,0.2954685982152605,0.4452040558062683,0.4690978298341539,0.4074770145638975
12,20,12,Y,Y,K,1,0.2748911628573565,0.41527732764386815,0.4618975618580039,0.37904035443658673
13,20,13,X,X,D,1,0.27066797302607315,0.3873925083054637,0.48585933380286417,0.4178304671783902
14,20,14,X,X,F,0,0.26066313435349125,0.3729856057067751,0.5090115980350065,0.46410146618863807
15,20,15,Y,Y,K,1,0.2730105456554397,0.3665908137371485,0.46267749104908595,0.4746632998817713
16,20,16,Y,X,D,0,0.28233293291295525,0.3655507461259638,0.4346785393971054,0.43672682643372335
17,20,17,Y,X,F,0,0.25,0.3648792824388419,0.42420623094050586,0.4112865490424611
18,20,18,Y,Y,K,1,0.25,0.36572564425849874,0.44812318362321796,0.4256217142661387
19,20,19,Y,Y,K,0,0.2731285601590697,0.40242602847191555,0.43153062550214977,0.4143507171172537
