,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,49,0,Y,X,F,0,0.49725696583543444,0.2514868265470738,0.25940296542918506,0.35942772815657464
1,49,1,X,Y,J,0,0.5368770414926832,0.2777324284560141,0.2760051671625583,0.36990132974055173
2,49,2,Y,Y,K,0,0.5111344014386624,0.2640150149837777,0.29804842304939433,0.3844423680299737
3,49,3,Y,X,D,1,0.5119622140056288,0.25,0.25,0.3737208546078201
4,49,4,X,Y,K,0,0.5392465381158935,0.25,0.25,0.3782527170601839
5,49,5,X,Y,J,0,0.5016454663178663,0.25,0.25,0.36673667228451684
6,49,6,X,X,D,0,0.4790657755721302,0.25,0.25,0.37853375172337334
7,49,7,Y,X,D,1,0.49936065183162165,0.28498174001426674,0.2746586943644296,0.36302934513856067
8,49,8,X,X,D,1,0.4984840184645351,0.2682415210657886,0.25,0.4046223185412036
9,49,9,Y,Y,K,1,0.5063935910187547,0.28988722685105617,0.25049332915868844,0.417138232801856
10,49,10,Y,Y,K,1,0.5092434822089593,0.26344576698391425,0.2752623458037275,0.4081716085441509
11,49,11,Y,X,D,0,0.4860453236956053,0.28142451123967954,0.25,0.386047629905178
12,49,12,Y,X,D,0,0.4560556608854106,0.25,0.25798415732633906,0.38825054787301605
13,49,13,X,Y,J,0,0.4425282394735053,0.25,0.29499423375808864,0.3793946693481354
14,49,14,X,X,D,1,0.46613973090718436,0.25,0.2913343009766641,0.4014919564847552
15,49,15,Y,Y,K,1,0.4780754195295329,0.26075058197175516,0.304494193350498,0.41379245664510994
16,49,16,Y,Y,K,0,0.4920285100691346,0.25,0.30296989820732567,0.4128256890160648
17,49,17,Y,Y,K,1,0.5180234861205973,0.2683906403443985,0.2951995373551269,0.41714709598450556
18,49,18,Y,Y,K,1,0.5306133536508221,0.25013121068997785,0.32526221092064456,0.3729046596484034
19,49,19,Y,Y,K,0,0.5270593828098907,0.26564522743550356,0.31013362989506116,0.3862841660595207
