,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,1,0,X,X,D,0,0.4770343130155007,0.647818237952692,0.5217735872993922,0.6820179439709321
1,1,1,Y,X,D,0,0.489708190838541,0.6551418784798222,0.5469657663637081,0.6666525969332507
2,1,2,Y,X,D,0,0.5091804781340569,0.6901494346227814,0.5671709341661586,0.6459479568916713
3,1,3,Y,Y,J,0,0.5243953692760005,0.6382115179077819,0.5614020957606294,0.6438420167441942
4,1,4,Y,X,D,1,0.5000038289064886,0.6654014555819117,0.5323144263800992,0.6036737340533249
5,1,5,Y,X,F,1,0.5418983541496021,0.6588549546607751,0.5392015709445056,0.607962890089013
6,1,6,Y,Y,K,1,0.5154792628360083,0.6702040621729868,0.5461725646933946,0.623938337121182
7,1,7,Y,X,F,0,0.5423141027864076,0.6549226957593024,0.5921177183149624,0.612047936106081
8,1,8,Y,Y,K,0,0.553860438593917,0.6715797298968164,0.5587836231979458,0.6499475116121399
9,1,9,Y,Y,K,1,0.5217419612764936,0.7110207654794968,0.5498281100669883,0.6537859702277397
10,1,10,Y,Y,K,1,0.5183792088790812,0.7342345280429086,0.5353118782561156,0.6495831982131215
11,1,11,Y,X,F,0,0.48650817514812894,0.7376243343622619,0.5683860583126332,0.6213583863127399
12,1,12,Y,Y,K,0,0.47745175052352934,0.7376088714532989,0.5833634099762035,0.6745958956050009
13,1,13,Y,X,F,1,0.48032303722781505,0.75,0.5989885913168917,0.6310957353652226
14,1,14,Y,Y,K,0,0.4607642949250643,0.7294926982501454,0.5961309581275354,0.6554390129483672
15,1,15,Y,X,F,1,0.4141079046673753,0.7498077195617638,0.6065986347304441,0.6493642803813491
16,1,16,Y,Y,K,1,0.40793791946358476,0.75,0.5892010915328886,0.6317639184167633
17,1,17,Y,X,F,1,0.37814013787314493,0.75,0.5251390367207353,0.6327929710438627
18,1,18,Y,Y,K,1,0.3843869218460071,0.75,0.475334924730404,0.649191022504276
19,1,19,Y,Y,K,1,0.4124327444843876,0.7263447905701114,0.4941577567464845,0.6208088825965512
