,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,41,0,Y,Y,K,0,0.3785258132475004,0.7262619566352861,0.43853175889228846,0.5034493722405214
1,41,1,Y,Y,K,0,0.38858648863815887,0.7468332037254906,0.4100973408192354,0.5139746266190691
2,41,2,Y,Y,K,0,0.37914930515714407,0.7464595005639844,0.4389858262380896,0.4867854516271351
3,41,3,Y,X,D,0,0.35142192397317,0.745494029724834,0.42375335376560797,0.4547743209585777
4,41,4,X,Y,K,0,0.42847914580884133,0.7237282086973795,0.44493669310448714,0.4054400288209648
5,41,5,Y,X,F,1,0.3991182303923784,0.6915257844178009,0.4520509908257937,0.42175731588294896
6,41,6,Y,X,F,1,0.37627739698948764,0.6893704476557888,0.4660289496237938,0.41453267957830475
7,41,7,X,X,F,1,0.4031405651232438,0.6907429322434206,0.46965565830927497,0.394466009132456
8,41,8,X,X,F,1,0.3973008428828679,0.6855831064088564,0.4609396513862065,0.3942768892373023
9,41,9,X,X,F,1,0.41245335177804504,0.6817821880585674,0.45816966985615126,0.4293062492852092
10,41,10,X,Y,J,0,0.4324788857813342,0.652530833313145,0.4636947286495067,0.3967036645947914
11,41,11,X,X,F,1,0.42773643459845523,0.6660952644375452,0.49827108636803336,0.3571588848744537
12,41,12,X,Y,K,0,0.43952416679815726,0.6653619224323594,0.5470221455822089,0.34788250528840153
13,41,13,Y,Y,J,1,0.5059431181236463,0.6095053022296356,0.5362596498240002,0.3685828489588355
14,41,14,X,X,F,0,0.5290921447579519,0.5765623298536718,0.5341333186441591,0.38599640606640034
15,41,15,X,X,F,0,0.5329802196703168,0.605098462197606,0.5517041195595599,0.39898511275960175
16,41,16,Y,X,F,1,0.5468752788375283,0.5948299866445901,0.5476076557045437,0.4221068975839227
17,41,17,Y,X,F,0,0.5869423769359594,0.5835902307074756,0.5548527615365665,0.4427561748685619
18,41,18,X,X,F,1,0.6107037621549039,0.595181514835651,0.5459168572173759,0.4227265814931604
19,41,19,X,X,F,0,0.5921226512250805,0.5780602758447999,0.5631311890472739,0.4432734635974636
