,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,76,0,Y,Y,K,1,0.602024831180273,0.43068714976091355,0.4623150471866695,0.6273073927879429
1,76,1,Y,Y,K,0,0.6048863777129498,0.43133515704154135,0.438834714271469,0.6415660149302794
2,76,2,X,X,D,1,0.5716661643711252,0.46863855798673537,0.46149716197619334,0.6574434007606955
3,76,3,X,X,F,1,0.545390491325585,0.48950161575201745,0.4605016292865772,0.66725332923085
4,76,4,X,X,D,1,0.5585088110687468,0.5103926792180449,0.45823827195941735,0.6409232494634282
5,76,5,X,Y,K,0,0.5367084301593585,0.49778552189363323,0.45129594367319686,0.6678750085151023
6,76,6,X,Y,K,1,0.5668591822191993,0.47248688954709994,0.4464036958997584,0.6385621343675396
7,76,7,X,X,D,0,0.5449597905893687,0.5072927103890944,0.45902077287434057,0.6511749799650348
8,76,8,X,X,F,0,0.5510558787785226,0.5061479803653615,0.4391396751615125,0.7163122831921798
9,76,9,Y,Y,K,1,0.5904489558530113,0.4933843202306006,0.457127063071398,0.6865498469864757
10,76,10,Y,Y,K,1,0.6052047623600992,0.516841559312858,0.48781717791739265,0.701572873126427
11,76,11,Y,Y,K,1,0.5672613103405907,0.5827652437391044,0.5035517339351325,0.7306122097672605
12,76,12,Y,Y,K,1,0.5826048327501661,0.5752368639927665,0.47076482169002515,0.7479185231137812
13,76,13,Y,Y,K,1,0.6181412926962633,0.5253422740443765,0.4815657955946128,0.75
14,76,14,Y,Y,K,1,0.6479280115063675,0.5343955974035085,0.488574511769681,0.75
15,76,15,Y,Y,K,1,0.6966328473935384,0.5191982593782433,0.4543115862481734,0.75
16,76,16,Y,Y,K,0,0.7159403066936262,0.5508165977510836,0.43521182949710896,0.75
17,76,17,Y,Y,K,1,0.7119258337690154,0.5447249851515225,0.44739157833497023,0.75
18,76,18,Y,Y,K,1,0.6973502621200784,0.6039426925160635,0.4273267596637829,0.75
19,76,19,Y,X,D,1,0.670649284780301,0.5960604810694116,0.4200787460372395,0.7025364588309436
