,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,3,0,Y,X,D,1,0.710371561074731,0.4262281823791639,0.6139223028497957,0.5507988918452105
1,3,1,Y,X,D,1,0.7275292437239103,0.35809360118414674,0.6213195799185282,0.5493833934974781
2,3,2,Y,Y,K,0,0.7493503089806435,0.3591148396222507,0.6249691567822794,0.5569456538332933
3,3,3,X,X,D,1,0.7354313696230971,0.36800922121803514,0.6221282614096499,0.5748650245239981
4,3,4,Y,X,F,0,0.7179682413590952,0.4035120412080473,0.5891586152654608,0.5968770601888358
5,3,5,Y,Y,J,1,0.7464704791690883,0.384039700241283,0.5768778019557792,0.6021205354182921
6,3,6,X,X,D,1,0.75,0.37377331486207865,0.5911292147747985,0.5945412583045292
7,3,7,Y,Y,J,0,0.75,0.38543182853136604,0.6287469924356358,0.5942939846135779
8,3,8,X,Y,K,0,0.75,0.3914760066263406,0.5535656564980025,0.5739784130024012
9,3,9,X,X,D,1,0.75,0.37455831134791895,0.578903509876434,0.5942369315483165
10,3,10,Y,Y,J,1,0.7434223077944581,0.35606858470668545,0.6138312797843867,0.5800793552767824
11,3,11,X,X,D,1,0.75,0.3427171771114159,0.6393364898002165,0.5970807330020939
12,3,12,Y,Y,J,0,0.75,0.346123985751353,0.6619081970754472,0.617119743900418
13,3,13,Y,Y,J,1,0.75,0.3675404792033629,0.598342707312647,0.6333548094896775
14,3,14,X,Y,J,1,0.7410308324386,0.3381960430248262,0.6243754206390751,0.6153399151155917
15,3,15,X,X,D,1,0.7258817511277815,0.28679862105104703,0.6340531106431098,0.6069144687265473
16,3,16,Y,Y,J,1,0.7477174691788565,0.33849671429187983,0.6239550463655384,0.6223506548372592
17,3,17,Y,Y,J,0,0.75,0.3495491849379281,0.6280395501709347,0.6278297377712392
18,3,18,Y,Y,J,1,0.75,0.31872572515203224,0.6231245335883153,0.6237509817683486
19,3,19,X,X,D,1,0.75,0.26178964789522513,0.5976316375503805,0.6292423924208518
