,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,43,0,X,X,D,1,0.49185818516207513,0.27960158973583255,0.6961135688812384,0.6242013235662971
1,43,1,Y,Y,J,1,0.46366600371795774,0.30859884486315114,0.7360987929817009,0.5952052122381672
2,43,2,Y,Y,K,0,0.41400175309879494,0.30748231507504326,0.7294308255048568,0.5815227534002125
3,43,3,Y,X,D,1,0.44945228862926506,0.30291888045501986,0.743997318080255,0.565496537611473
4,43,4,X,X,D,1,0.4175834307056988,0.30328633571861,0.7429862059568948,0.5525114677535983
5,43,5,X,Y,J,1,0.4356044433357674,0.2899495771809842,0.7193644661465378,0.5515382761172957
6,43,6,Y,X,D,0,0.4675155073415469,0.28648867526852584,0.6415909014550941,0.6057225220837528
7,43,7,X,Y,J,0,0.43336090679310485,0.2624120459254442,0.5871937867863285,0.5850348320773631
8,43,8,Y,Y,K,1,0.47834454403805715,0.2534275675158997,0.5562409327995739,0.5797140893911826
9,43,9,X,X,D,1,0.4942966640540075,0.25,0.6162545473543597,0.5913301046653272
10,43,10,Y,Y,J,0,0.5035483125571064,0.27625802316342707,0.6163517887752656,0.5868677145355679
11,43,11,Y,X,F,0,0.5386348424790791,0.25,0.6281809826743092,0.6136707939337088
12,43,12,Y,Y,K,0,0.5324393388126345,0.26044926019871206,0.6186378540876571,0.6364491574142361
13,43,13,X,X,D,1,0.544721472128037,0.25956818706629076,0.6188924460077737,0.5829860613629972
14,43,14,X,X,D,0,0.5193233190901281,0.25,0.6342776134215933,0.6027033381760457
15,43,15,Y,Y,K,1,0.5665048246253234,0.28108373832657985,0.6427193234318302,0.5808610254679917
16,43,16,Y,Y,J,0,0.5636462643335998,0.25762372053361915,0.6172696743261586,0.5861836748795725
17,43,17,X,Y,K,0,0.577544864267797,0.25,0.625515715509175,0.5836426339464548
18,43,18,Y,Y,K,1,0.5791500064504046,0.25,0.6468012348072876,0.6275146958293903
19,43,19,Y,X,F,1,0.5611546726782445,0.25386694895042994,0.6632778580233346,0.6445916694126226
