,run,trial,action1,state,action2,reward,probsA,probsB,probsC,probsD
0,40,0,Y,Y,J,1,0.6949936159287379,0.66273602613458,0.6748239571854276,0.502330203429211
1,40,1,Y,Y,J,0,0.6994691288175762,0.6230816369374413,0.6928607353368426,0.5239130946790724
2,40,2,Y,Y,K,1,0.6831529459510957,0.6168948870784567,0.6773477687790964,0.5133577245185461
3,40,3,Y,X,D,1,0.7100988552375903,0.6085117309115315,0.7219681295720094,0.5471068813545801
4,40,4,Y,X,D,0,0.6688776662737275,0.6335183829562447,0.7197648459142736,0.5452794832948266
5,40,5,Y,Y,J,0,0.680893893931859,0.6020334003232468,0.733137425459015,0.5762296797908893
6,40,6,Y,Y,K,1,0.6883516613218015,0.6212841715859334,0.7403796817077679,0.5860560903766746
7,40,7,Y,Y,K,0,0.6936738393915364,0.6223282667623173,0.7330241937239651,0.6132262564023502
8,40,8,X,X,D,1,0.6894429914042567,0.6187785509666789,0.7405976774688291,0.608588605382535
9,40,9,Y,Y,K,1,0.6790295981928176,0.5943637803280379,0.75,0.624759933272537
10,40,10,X,X,D,1,0.6606359013094989,0.6045877114944866,0.75,0.6175485812119687
11,40,11,Y,X,D,1,0.6811436390633165,0.5883395459049648,0.7380059325757502,0.6498294988320173
12,40,12,Y,Y,K,1,0.7153537371160241,0.5786174270829727,0.7297489259014068,0.6306383873879189
13,40,13,Y,Y,J,1,0.6698932310797057,0.5872876443284905,0.7076171241986607,0.664731553250587
14,40,14,Y,Y,K,1,0.6400458515178955,0.5989329056983325,0.75,0.6766095574220338
15,40,15,Y,Y,K,1,0.6855704546908998,0.5742864635805837,0.7303283318626986,0.6369840280584524
16,40,16,Y,Y,K,0,0.7006440251320426,0.5928133005354982,0.7443994814059357,0.6441665031427773
17,40,17,Y,X,D,1,0.6918809724960959,0.5854250311412439,0.75,0.6029257908896717
18,40,18,Y,Y,K,0,0.665201591746106,0.5878097152547613,0.75,0.5390707314822506
19,40,19,Y,Y,K,1,0.6468408432067045,0.6310969662787604,0.75,0.5716607494619796
